symbol,date,isEnabled
ARLP,2020-04-09,true
ARMK,2020-04-09,true
ARMP,2020-04-09,true
ARMR,2020-04-09,true
ARNA,2020-04-09,true
ARNC,2020-04-09,true
AROC,2020-04-09,true
AROW,2020-04-09,true
ARPO,2020-04-09,true
ARQT,2020-04-09,true
ARR,2020-04-09,true
ARR-C,2020-04-09,true
ARTL,2020-04-09,true
ARTLW,2020-04-09,true
ARTNA,2020-04-09,true
ARTW,2020-04-09,true
ARVN,2020-04-09,true
ARW,2020-04-09,true
ARWR,2020-04-09,true
ARYA,2020-04-09,true
ARYAU,2020-04-09,true
ARYAW,2020-04-09,true
ASA,2020-04-09,true
ASB,2020-04-09,true
ASB-C,2020-04-09,true
ASB-D,2020-04-09,true
ASB-E,2020-04-09,true
ASC,2020-04-09,true
ASEA,2020-04-09,true
ASET,2020-04-09,true
ASFI,2020-04-09,true
ASG,2020-04-09,true
ASGN,2020-04-09,true
ASH,2020-04-09,true
ASHR,2020-04-09,true
ASHS,2020-04-09,true
ASHX,2020-04-09,true
ASIX,2020-04-09,true
ASLN,2020-04-09,true
ASM,2020-04-09,true
ASMB,2020-04-09,true
ASML,2020-04-09,true
ASNA,2020-04-09,true
ASND,2020-04-09,true
ASPN,2020-04-09,true
ASPS,2020-04-09,true
ASPU,2020-04-09,true
ASR,2020-04-09,true
ASRT,2020-04-09,true
ASRV,2020-04-09,true
ASRVP,2020-04-09,true
ASTC,2020-04-09,true
ASTE,2020-04-09,true
ASUR,2020-04-09,true
ASX,2020-04-09,true
ASYS,2020-04-09,true
AT,2020-04-09,true
ATAX,2020-04-09,true
ATCO,2020-04-09,true
ATCO-D,2020-04-09,true
ATCO-E,2020-04-09,true
ATCO-G,2020-04-09,true
ATCO-H,2020-04-09,true
ATCO-I,2020-04-09,true
ATCX,2020-04-09,true
ATCXW,2020-04-09,true
ATEC,2020-04-09,true
ATEN,2020-04-09,true
ATEX,2020-04-09,true
ATGE,2020-04-09,true
ATH,2020-04-09,true
ATH-A,2020-04-09,true
ATH-B,2020-04-09,true
ATHE,2020-04-09,true
ATHM,2020-04-09,true
ATHX,2020-04-09,true
ATI,2020-04-09,true
ATIF,2020-04-09,true
ATKR,2020-04-09,true
ATLC,2020-04-09,true
ATLO,2020-04-09,true
ATMP,2020-04-09,true
ATNI,2020-04-09,true
ATNM,2020-04-09,true
ATNX,2020-04-09,true
ATO,2020-04-09,true
ATOM,2020-04-09,true
ATOS,2020-04-09,true
ATR,2020-04-09,true
ATRA,2020-04-09,true
ATRC,2020-04-09,true
ATRI,2020-04-09,true
ATRO,2020-04-09,true
ATRS,2020-04-09,true
ATSG,2020-04-09,true
ATTO,2020-04-09,true
ATUS,2020-04-09,true
ATV,2020-04-09,true
ATVI,2020-04-09,true
ATXI,2020-04-09,true
AU,2020-04-09,true
AUB,2020-04-09,true
AUBN,2020-04-09,true
AUDC,2020-04-09,true
AUG,2020-04-09,true
AUMN,2020-04-09,true
AUPH,2020-04-09,true
AUSF,2020-04-09,true
AUTL,2020-04-09,true
AUTO,2020-04-09,true
AUY,2020-04-09,true
AVA,2020-04-09,true
AVAL,2020-04-09,true
AVAV,2020-04-09,true
AVB,2020-04-09,true
AVCO,2020-04-09,true
AVCT,2020-04-09,true
AVCTW,2020-04-09,true
AVD,2020-04-09,true
AVDE,2020-04-09,true
AVDL,2020-04-09,true
AVDV,2020-04-09,true
AVEM,2020-04-09,true
AVEO,2020-04-09,true
AVGO,2020-04-09,true
AVGOP,2020-04-09,true
AVGR,2020-04-09,true
AVH,2020-04-09,true
AVID,2020-04-09,true
AVK,2020-04-09,true
AVLR,2020-04-09,true
AVNS,2020-04-09,true
AVNW,2020-04-09,true
AVRO,2020-04-09,true
AVT,2020-04-09,true
AVTR,2020-04-09,true
AVTR-A,2020-04-09,true
AVUS,2020-04-09,true
AVUV,2020-04-09,true
AVXL,2020-04-09,true
AVY,2020-04-09,true
AVYA,2020-04-09,true
AWAY,2020-04-09,true
AWF,2020-04-09,true
AWI,2020-04-09,true
AWK,2020-04-09,true
AWP,2020-04-09,true
AWR,2020-04-09,true
AWRE,2020-04-09,true
AWTM,2020-04-09,true
AWX,2020-04-09,true
AX,2020-04-09,true
AXAS,2020-04-09,true
AXDX,2020-04-09,true
AXE,2020-04-09,true
AXGN,2020-04-09,true
AXGT,2020-04-09,true
AXJL,2020-04-09,true
AXL,2020-04-09,true
AXLA,2020-04-09,true
AXNX,2020-04-09,true
AXO,2020-04-09,true
AXP,2020-04-09,true
AXR,2020-04-09,true
AXS,2020-04-09,true
AXS-E,2020-04-09,true
AXSM,2020-04-09,true
AXTA,2020-04-09,true
AXTI,2020-04-09,true
AXU,2020-04-09,true
AY,2020-04-09,true
AYI,2020-04-09,true
AYTU,2020-04-09,true
AYX,2020-04-09,true
AZN,2020-04-09,true
AZO,2020-04-09,true
AZPN,2020-04-09,true
AZRE,2020-04-09,true
AZRX,2020-04-09,true
AZUL,2020-04-09,true
AZZ,2020-04-09,true
B,2020-04-09,true
BA,2020-04-09,true
BAB,2020-04-09,true
BABA,2020-04-09,true
BAC,2020-04-09,true
BAC-A,2020-04-09,true
BAC-B,2020-04-09,true
BAC-C,2020-04-09,true
BAC-E,2020-04-09,true
BAC-K,2020-04-09,true
BAC-L,2020-04-09,true
BAC-M,2020-04-09,true
BAC-N,2020-04-09,true
BAF,2020-04-09,true
BAH,2020-04-09,true
BAK,2020-04-09,true
BAL,2020-04-09,true
BAM,2020-04-09,true
BANC,2020-04-09,true
BANC-D,2020-04-09,true
BANC-E,2020-04-09,true
BAND,2020-04-09,true
BANF,2020-04-09,true
BANFP,2020-04-09,true
BANR,2020-04-09,true
BANX,2020-04-09,true
BAP,2020-04-09,true
BAPR,2020-04-09,true
BAR,2020-04-09,true
BASI,2020-04-09,true
BATL,2020-04-09,true
BATRA,2020-04-09,true
BATRK,2020-04-09,true
BATT,2020-04-09,true
BAUG,2020-04-09,true
BAX,2020-04-09,true
BB,2020-04-09,true
BBAR,2020-04-09,true
BBAX,2020-04-09,true
BBBY,2020-04-09,true
BBC,2020-04-09,true
BBCA,2020-04-09,true
BBCP,2020-04-09,true
BBD,2020-04-09,true
BBDC,2020-04-09,true
BBDO,2020-04-09,true
BBEU,2020-04-09,true
BBF,2020-04-09,true
BBGI,2020-04-09,true
BBH,2020-04-09,true
BBI,2020-04-09,true
BBIN,2020-04-09,true
BBIO,2020-04-09,true
BBJP,2020-04-09,true
BBK,2020-04-09,true
BBL,2020-04-09,true
BBN,2020-04-09,true
BBP,2020-04-09,true
BBQ,2020-04-09,true
BBRE,2020-04-09,true
BBSA,2020-04-09,true
BBSI,2020-04-09,true
BBU,2020-04-09,true
BBUS,2020-04-09,true
BBVA,2020-04-09,true
BBW,2020-04-09,true
BBX,2020-04-09,true
BBY,2020-04-09,true
BC,2020-04-09,true
BC-A,2020-04-09,true
BC-B,2020-04-09,true
BC-C,2020-04-09,true
BCBP,2020-04-09,true
BCC,2020-04-09,true
BCD,2020-04-09,true
BCDA,2020-04-09,true
BCDAW,2020-04-09,true
BCE,2020-04-09,true
BCEI,2020-04-09,true
BCEL,2020-04-09,true
BCH,2020-04-09,true
BCI,2020-04-09,true
BCLI,2020-04-09,true
BCM,2020-04-09,true
BCML,2020-04-09,true
BCO,2020-04-09,true
BCOM,2020-04-09,true
BCOR,2020-04-09,true
BCOV,2020-04-09,true
BCOW,2020-04-09,true
BCPC,2020-04-09,true
BCRX,2020-04-09,true
BCS,2020-04-09,true
BCSF,2020-04-09,true
BCTF,2020-04-09,true
BCV,2020-04-09,true
BCV-A,2020-04-09,true
BCX,2020-04-09,true
BCYC,2020-04-09,true
BDC,2020-04-09,true
BDCS,2020-04-09,true
BDCY,2020-04-09,true
BDCZ,2020-04-09,true
BDEC,2020-04-09,true
BDGE,2020-04-09,true
BDJ,2020-04-09,true
BDL,2020-04-09,true
BDN,2020-04-09,true
BDR,2020-04-09,true
BDRY,2020-04-09,true
BDSI,2020-04-09,true
BDTX,2020-04-09,true
BDX,2020-04-09,true
BDXA,2020-04-09,true
BE,2020-04-09,true
